IR,PI,DD,TanDelta_20,TanDelta_100,Cap_TipUp
0.94,5.46,1.61,3.114,2.291,0.32
33.20,7.05,0.35,0.588,0.788,0.24
26.00,3.20,1.00,1.280,1.560,0.10
0.98,1.76,3.61,1.536,1.581,-0.05
4.27,3.74,3.64,3.009,3.070,-0.05
4.66,4.19,2.05,1.370,1.300,-0.17
1.34,2.30,4.61,4.250,4.320,-0.03
7.65,4.75,1.40,1.900,1.980,-0.63
3.49,3.46,3.49,4.355,2.521,24.24
3.53,2.83,2.18,3.553,2.206,18.16
1.40,2.84,6.50,3.320,3.340,0.05
0.42,1.17,3.54,4.170,4.230,-0.04
1.63,1.19,0.74,1.424,1.710,0.44
18.41,3.78,0.36,1.141,1.384,0.31
4.38,5.12,2.12,2.270,2.280,-0.05
2.55,2.93,3.80,1.135,1.527,0.52
3.60,3.02,2.32,1.725,2.007,0.13
16.63,3.27,0.87,1.225,1.318,0.11
29.80,4.49,0.78,1.430,1.610,0.78
5.99,2.86,2.00,2.020,2.160,0.77
10.80,2.28,0.86,1.263,1.679,0.90
25.20,2.34,0.34,1.059,1.351,0.53
29.40,3.00,0.32,0.922,1.217,0.39
1.56,1.19,1.52,1.240,1.620,0.58
0.52,0.81,2.11,1.440,1.840,0.88
9.50,1.76,0.62,0.965,1.330,0.45
25.60,8.34,0.77,3.610,6.160,3.36
3.30,2.03,2.34,3.080,3.260,0.45
23.10,3.67,0.70,3.358,3.705,1.07
28.90,7.06,0.55,2.510,2.730,0.45
9.68,2.89,1.14,2.029,2.183,0.23
14.00,3.32,0.87,2.820,3.050,0.27
6.46,4.36,1.23,3.396,3.593,0.31
26.00,4.37,2.99,1.332,1.345,-0.23
49.50,1.17,1.92,1.636,1.764,-0.05
32.30,5.93,0.49,1.190,1.380,0.02
30.10,4.65,0.59,3.393,5.971,3.97
51.00,4.34,0.29,0.814,2.841,2.54
9.18,3.69,1.49,2.023,3.593,1.98
10.50,4.40,1.12,3.970,4.310,3.50
7.30,2.94,1.22,4.359,3.419,3.54
5.26,3.21,1.62,4.280,4.337,2.49
0.01,2.65,7.40,3.316,4.845,2.24
10.80,3.36,1.15,2.520,2.770,0.57
37.50,5.26,0.20,0.655,1.018,0.53
30.50,3.77,0.27,1.032,1.449,0.61
5.52,1.64,0.81,5.662,5.474,1.85
16.80,2.87,0.53,4.907,4.824,1.21
32.10,5.87,0.34,4.880,4.800,1.35
5.16,1.87,1.08,2.140,2.040,0.51
22.30,5.62,0.53,1.755,1.815,0.34
0.72,1.69,0.72,1.880,1.940,-0.06
5.86,1.75,1.05,4.314,6.373,3.15
7.63,2.74,1.80,4.335,6.475,3.30
29.70,7.46,0.62,3.602,5.851,3.29
12.00,1.58,0.80,3.632,5.875,2.97
22.70,5.42,1.04,3.586,5.759,2.99
11.96,3.07,1.00,3.903,5.619,2.60
3.32,2.97,1.49,3.040,3.140,0.69
5.97,1.58,1.13,5.300,7.020,3.21
19.30,2.53,0.79,-3.070,2.910,-7.01
10.70,4.43,1.45,-1.150,3.870,-1.28
13.10,5.91,1.31,1.449,3.897,3.01
7.07,2.52,0.96,5.810,3.050,0.37
11.80,2.59,0.65,0.999,1.858,1.11
11.80,2.59,0.65,0.990,1.850,1.11
11.10,3.15,0.49,0.883,1.641,0.93
11.10,3.15,0.49,0.883,1.641,0.93
1.54,2.95,1.18,1.828,1.947,0.25
8.78,1.60,0.86,4.457,5.869,4.62
0.89,1.19,1.39,7.721,7.226,3.34
7.90,3.46,1.86,3.971,4.144,2.39
1.07,1.30,2.07,3.209,3.875,2.58
12.80,5.37,1.72,3.820,3.434,2.14
7.68,2.43,1.55,5.936,8.390,6.77
4.77,1.92,1.65,3.401,6.019,5.70
19.47,4.98,0.88,1.110,1.310,0.38
9.97,3.41,1.37,1.892,1.696,0.35
22.40,3.33,0.64,0.922,1.289,0.44
9.23,3.41,1.54,1.539,1.767,0.32
9.98,2.54,0.56,1.701,2.014,0.15
4.42,2.92,0.91,1.430,1.587,0.18
12.09,3.73,1.11,1.560,1.790,0.40
18.10,3.95,0.70,1.580,2.470,0.38
15.00,3.58,0.53,0.592,0.703,0.13
6.13,2.19,0.39,0.744,0.853,0.12
5.05,2.22,1.58,6.390,10.800,6.45
28.70,7.39,0.88,2.916,5.375,2.87
0.72,1.84,4.90,8.481,9.240,1.52
0.81,1.84,5.91,8.500,9.360,2.51
28.10,6.85,0.75,4.595,6.622,3.42
9.47,2.23,1.05,1.071,2.070,1.26
9.35,2.40,0.98,0.969,1.970,1.25
1.15,1.47,1.53,0.644,3.579,3.43
13.60,7.20,0.58,4.887,4.339,2.02
2.71,1.29,1.46,4.495,4.444,1.88
13.60,7.20,0.58,4.887,4.339,2.02
7.19,5.90,1.19,4.469,4.211,0.01
6.28,2.52,1.02,5.212,4.656,1.32
2.75,1.82,2.22,4.757,4.635,1.15
0.08,1.33,2.63,2.595,2.752,0.48
1.33,1.81,1.68,1.678,1.880,0.22
16.06,4.85,0.53,5.250,5.010,1.83
8.36,1.45,0.46,2.560,2.692,0.78
19.68,5.38,0.45,2.320,2.440,0.56
0.79,1.18,0.57,11.754,11.410,6.16
8.09,1.24,0.31,0.822,1.178,0.44
12.69,1.97,0.52,10.762,8.875,4.65
18.70,4.14,0.60,10.993,8.993,4.61
1.54,1.57,1.56,8.542,6.758,3.03
26.50,6.41,0.46,7.278,5.957,2.15
8.19,1.74,0.64,7.300,6.280,1.80
10.20,1.87,0.48,7.481,6.178,4.16
0.05,1.30,1.05,7.103,6.789,3.53
25.00,5.80,0.45,9.716,8.527,5.42
3.22,1.52,0.94,8.699,7.148,2.44
8.65,5.95,0.58,5.561,5.351,2.31
4.88,2.52,1.40,2.940,3.090,0.84
20.40,3.66,0.36,4.988,4.814,2.40
1.65,2.30,0.64,7.889,7.533,4.07
4.92,2.75,1.81,12.378,11.797,7.83
0.25,1.22,9.43,2.250,2.810,1.33
2.62,1.49,1.50,1.814,3.767,1.07
7.80,3.59,0.67,1.456,2.318,1.81
5.10,2.09,3.20,1.498,2.238,1.31
0.21,1.03,3.88,1.990,2.490,0.95
20.90,3.20,0.26,1.180,1.351,0.20
13.00,6.50,0.54,2.857,2.900,0.77
10.70,6.59,0.66,2.746,2.908,0.55
14.40,6.34,0.50,2.251,2.432,0.52
6.70,2.26,1.24,0.824,1.012,0.23
22.80,2.34,0.35,0.627,0.852,0.29
13.80,2.15,0.42,0.631,0.770,0.20
10.20,2.26,0.58,0.631,0.770,0.20
8.54,2.56,1.22,1.106,1.325,0.28
28.70,3.62,0.36,0.673,0.889,0.25
19.80,2.34,0.37,0.669,0.848,0.24
26.80,1.93,0.36,0.921,1.245,0.41
9.21,1.52,0.47,0.833,1.147,0.43
20.00,2.13,0.36,0.644,0.953,0.43
20.90,5.40,0.66,6.033,5.587,2.18
16.80,5.09,0.46,4.609,4.301,1.92
8.50,2.49,0.76,5.760,5.491,1.87
11.10,2.11,0.81,5.672,5.311,2.17
5.51,3.59,1.27,6.783,6.431,1.80
13.10,5.68,0.61,5.749,6.486,2.71
18.20,5.90,0.40,5.838,6.419,2.92
21.90,8.42,0.59,4.395,6.475,3.11
25.30,3.71,0.68,5.374,7.719,4.70
29.01,6.11,0.81,4.700,5.830,3.31
12.70,4.87,1.36,6.232,7.682,3.22
29.50,4.13,0.72,4.322,5.263,2.84
29.50,4.13,0.72,4.323,5.264,2.84
7.11,5.02,1.60,1.316,3.366,2.82
22.40,2.40,0.56,0.874,1.120,0.37
5.32,1.36,1.52,1.221,1.509,0.12
41.20,3.52,0.36,0.665,1.006,0.38
7.75,2.31,1.48,3.450,3.910,1.65
31.30,6.72,0.84,3.101,6.360,4.28
21.20,3.71,0.84,3.400,5.720,2.95
9.33,3.78,1.23,4.420,7.270,3.45
36.60,6.69,0.64,5.368,7.071,3.56
31.90,6.02,0.68,5.320,7.304,3.78
