Test_Year,IR,PI,DD,TanDelta_20,TanDelta_100,Cap_TipUp,Manufacturing_Year
2019,34.9,5.73,0.22,0.644,2.888,2.913277911,2016
2017,13.5,3.15,0.55,5.521,2.3,2.753,2010
2017,0.5,2.87,1.43,2.05,2.3,1.038,2006
2020,0.08,1.52,1.34,2.339,2.665,0.95,2006
2019,10.4,3.98,0.49,0.925,1.246,0.500234295,2015
2018,1.42,1.79,2.88,2.9359,3.46551,3.07,2004
2018,14.7,4.13,0.59,1.518,2.831,2.94,2004
2021,14.7,2.8,0.66,1.41,2.8,4.56,2004
2018,25.4,7.41,0.54,1.06,1.05,0.15,2006
2021,6.54,2.25,1.31,2.915,2.134,1.024,2006
2019,7.52,3.05,0.63,0.994,1.106,0.16377732,1997
2020,13.20,2.06,0.42,0.645,1.769,1.42,2015
2017,0.5,1.49,0.48,0.867,2.904,2.08,2015
2020,3.81,1.29,0.59,0.4367,1.836,1.5367,2015
2018,1.15,1.47,1.53,0.644,3.579,3.43,2014
2018,6.52,3.42,0.68,1.281,1.41,0.150715901,2006
2019,18.6,4.08,0.42,0.839,0.942,0.465228746,1998
2018,32.9,3.38,0.4,0.6868,0.8132,0.140772236,2007
2019,3.72,3.13,1.13,1.365,1.69,0.548760664,2006
2018,8.56,4.65,0.77,0.64,0.6947,0.074396338,2011
2018,45.6,2.49,0.24,0.6245,0.7585,0.180359246,2007
2017,3.34,6.51,1.8,5.64,6.4,1.822350953,2007
2019,8.57,2.9,0.86,4.075,4.62,1.502510622,2006
2020,3.02,6.76,0.68,1.216,1.265,0.043435814,2007
2017,12.6,1.79,0.61,1.076,1.269,0.263136643,2005
2018,29.4,3,0.32,0.922,1.217,0.393321781,1996
2019,27.9,4.78,0.35,0.66,0.99,0.488118727,2012
2019,4.6,2.03,1.42,0.964,1.696,0.900863451,2012
2019,6.18,2.52,0.89,1.003,1.101,0.115214675,2007
2019,4.69,5.11,1.55,1.21158,1.45359,0.334505385,2015
2017,4.14,4.78,2.78,1.96,2.26,0.218978102,2005
2018,17.5,5.71,0.53,1.169,1.372,0.602596757,2007
2018,11.6,2.44,0.67,1.64,1.78,0.219731672,2010
2018,11.8,3.65,0.74,1.382,1.719,1.031572917,2007
2018,8.19,2.51,1.16,2.0574,3.565,2.25,2009
2018,8.71,2.33,1.1,1.191,1.645,0.758,2009
2018,31.9,3.87,0.38,1.058,1.835,2.37,2009
2018,11.6,3.81,0.61,1.01,1.07,0.181832556,2007
2018,4.38,2.4,0.75,2.73,2.78,0.040559889,2010
2018,10.8,3.36,1.15,2.52,2.77,0.573183214,2007
2018,18.1,3.95,0.7,1.58,2.47,0.376778784,2011
2019,2.11,2.2,1.65,0.578565,0.66613,0.094953402,2018
2019,5.31,2.27,0.5,0.53733,0.5728,0.04909012,2018
2019,6.05,4.77,0.75,0.62,0.65,0.061240112,2019
2018,12.4,2.32,0.47,1.08,1.229,0.171330668,2004
2018,13.4,4.12,0.42,2.243,2.442,0.629902449,2014
2018,11.7,4.7,0.47,1.90881,2.16689,0.566401729,2014
2018,13,4.04,0.53,2.31,2.697,1.031850236,2014
2018,14,4.42,0.49,2.928,3.035,1.123711874,2014
2016,57.1,3.19,0.66,1.14,1.57,0.544087314,1996
2018,18.6,5.46,0.63,0.575,0.813,0.14781007,1996
2018,23.2,6.52,0.82,0.671571,0.843169,0.100047313,1996
2018,18.14,4.19,0.3,0.829,0.998,0.230132284,2002
2018,4.73,3.91,0.27,0.678,0.813,0.218288595,2002
2018,1.33,1.81,1.68,1.678,1.88,0.220142508,2003
2020,6.75,4.67,0.71,1.374,1.598,0.432366041,2007
2019,11.3,4.23,0.65,1.017,1.31,0.322011115,2009
2018,7.06,6.01,0.65,1.358,1.71,0.44804524,2014
2018,8.8,7.54,0.38,1.27,1.3,-0.137306456,2014
2018,9.6,6.32,0.33,1.677,1.774,0.327755363,2013
2020,7.78,4.01,0.53,1.995,2.46,1.511837299,2011
2018,5.92,5.43,0.75,1.494,1.7,0.344803245,2014
2018,13,6.5,0.54,2.857,2.9,0.768498254,2015
